postcode,lat,lng,alt
NN15 7EN,-0.737085,52.391068,0
NN15 7FD,-0.744914,52.39434,0
NN15 7HS,-0.72275,52.391822,0
NN15 7LF,-0.74325,52.394433,0
NN15 7NH,-0.7176,52.392576,0
NN15 7QQ,-0.725319,52.394979,0
NN16 0DH,-0.723799,52.400303,0
NN16 0ER,-0.715313,52.398952,0
NN16 0HU,-0.713828,52.401993,0
NN16 0HZ,-0.712891,52.400373,0
NN16 0QS,-0.702039,52.407025,0
NN16 0RA,-0.71293,52.402567,0
NN16 0SB,-0.721794,52.399001,0
NN16 0SD,-0.719915,52.399398,0
NN16 8LS,-0.746812,52.404613,0
NN16 8RR,-0.720822,52.40464,0
NN16 8RR,-0.720822,52.40464,0
NN16 8UR,-0.742827,52.403132,0
NN16 9AS,-0.72437,52.414649,0
NN16 9DA,-0.731835,52.405064,0
NN16 9EE,-0.729477,52.404751,0
NN16 9EF,-0.730858,52.404766,0
NN16 9EH,-0.73332,52.405566,0
NN16 9EU,-0.727377,52.412335,0
NN16 9EY,-0.720309,52.414227,0
NN16 9EZ,-0.718784,52.414615,0
NN16 9JA,-0.729133,52.409063,0
NN16 9JQ,-0.725705,52.418844,0
NN16 9JS,-0.724877,52.420507,0
NN16 9LJ,-0.719801,52.409439,0
NN16 9NS,-0.711131,52.411817,0
NN16 9PS,-0.713788,52.408933,0
NN16 9QA,-0.722813,52.40646,0
NN16 9QT,-0.725641,52.410347,0
NN16 9QZ,-0.724786,52.411938,0
NN16 9UR,-0.69657,52.416521,0
NN16 9UR,-0.69657,52.416521,0
NN16 9XR,-0.717533,52.417704,0
NN17 1AD,-0.686302,52.4953,0
NN17 1DD,-0.683194,52.498278,0
NN17 1EL,-0.692329,52.495727,0
NN17 1ER,-0.695354,52.495041,0
NN17 1ER,-0.695354,52.495041,0
NN17 1ER,-0.695354,52.495041,0
NN17 1ER,-0.695354,52.495041,0
NN17 1ET,-0.700712,52.493167,0
NN17 1EZ,-0.687261,52.49229,0
NN17 1JD,-0.690369,52.503185,0
NN17 1LB,-0.697929,52.500616,0
NN17 1LF,-0.703331,52.497763,0
NN17 1LF,-0.703331,52.497763,0
NN17 1RU,-0.69755,52.48852,0
NN17 1SD,-0.697364,52.485335,0
NN17 1SD,-0.697364,52.485335,0
NN17 1XP,-0.690374,52.502025,0
NN17 1XR,-0.689717,52.501317,0
NN17 1YR,-0.697155,52.492921,0
NN17 2AF,-0.701872,52.504292,0
NN17 2AN,-0.705006,52.501944,0
NN17 2AN,-0.705006,52.501944,0
NN17 2BN,-0.700358,52.499699,0
NN17 2BW,-0.699903,52.501124,0
NN17 2BX,-0.71251,52.497728,0
NN17 2DA,-0.703217,52.498643,0
NN17 2DH,-0.713071,52.497177,0
NN17 2DQ,-0.707912,52.4973,0
NN17 2EA,-0.702587,52.503545,0
NN17 2ER,-0.705502,52.502614,0
NN17 2ER,-0.705502,52.502614,0
NN17 2GD,-0.719372,52.500365,0
NN17 2HR,-0.713265,52.503131,0
NN17 2JE,-0.715494,52.503515,0
NN17 2JE,-0.715494,52.503515,0
NN17 2JX,-0.709297,52.505326,0
NN17 2JZ,-0.707503,52.505217,0
NN17 2LZ,-0.718291,52.501549,0
NN17 2PR,-0.719108,52.501333,0
NN17 2PZ,-0.725225,52.495115,0
NN17 2RW,-0.727534,52.497765,0
NN17 2SU,-0.721349,52.494147,0
NN17 2SY,-0.721747,52.492101,0
NN17 2TW,-0.719821,52.496567,0
NN17 2UY,-0.70651,52.502895,0
NN17 2YB,-0.700913,52.50385,0
NN17 2YF,-0.706272,52.50096,0
NN17 3HL,-0.643151,52.498355,0
NN17 3HX,-0.647352,52.49541,0
NN17 3JW,-0.628733,52.498235,0
NN17 3LF,-0.636214,52.495003,0
NN17 3LX,-0.624861,52.493918,0
NN17 3NA,-0.624636,52.493106,0
NN17 5AY,-0.64074,52.502508,0
NN17 5EN,-0.637162,52.505318,0
NN18 0BD,-0.726073,52.490224,0
NN18 0BS,-0.728831,52.491126,0
NN18 0BS,-0.728831,52.491126,0
NN18 0DB,-0.727667,52.489072,0
NN18 0DD,-0.730249,52.489936,0
NN18 0DW,-0.731479,52.489689,0
NN18 0DY,-0.728101,52.488349,0
NN18 0EL,-0.718207,52.485716,0
NN18 0EL,-0.718207,52.485716,0
NN18 0EP,-0.717631,52.486258,0
NN18 0EZ,-0.720024,52.489071,0
NN18 0HZ,-0.725121,52.481889,0
NN18 0HZ,-0.725121,52.481889,0
NN18 0JD,-0.722906,52.483636,0
NN18 0JS,-0.725688,52.485759,0
NN18 0LN,-0.72139,52.485642,0
NN18 0LX,-0.727757,52.482402,0
