Postcode,Latitude,Longitude,Terminated,Population,Households,Built Up Area
NN8 5PQ,52.313805,-0.719789,,14,6,Wellingborough
NN8 5PZ,52.312792,-0.720068,,30,10,Wellingborough
NN8 5QF,52.310315,-0.708155,,26,12,Wellingborough
NN8 5QH,52.308967,-0.716409,,64,29,Wellingborough
NN8 5QN,52.31199,-0.715749,,67,20,Wellingborough
NN8 5QP,52.310614,-0.718195,,88,31,Wellingborough
NN8 5QQ,52.309487,-0.717904,,58,22,Wellingborough
NN8 5QR,52.313051,-0.715792,,54,20,Wellingborough
NN8 5QS,52.312429,-0.718127,,103,40,Wellingborough
NN8 5QU,52.313832,-0.722326,,37,14,Wellingborough
NN8 5QW,52.312073,-0.716788,,41,15,Wellingborough
NN8 5QY,52.311871,-0.718041,,37,16,Wellingborough
NN8 5UA,52.314376,-0.722766,,12,3,Wellingborough
NN8 5UB,52.315968,-0.714519,,86,30,Wellingborough
NN8 5UD,52.314981,-0.715516,,31,10,Wellingborough
NN8 5UE,52.3141,-0.7238,,19,6,Wellingborough
NN8 5UF,52.31571,-0.715627,,39,15,Wellingborough
NN8 5UH,52.313643,-0.723946,,14,6,Wellingborough
NN8 5UN,52.315487,-0.713257,,103,38,Wellingborough
NN8 5UQ,52.314225,-0.712985,,116,54,Wellingborough
NN8 5UZ,52.305098,-0.699727,,28,25,Wellingborough
NN8 5WA,52.31396,-0.714254,,35,18,Wellingborough
NN8 5WB,52.309497,-0.722143,,78,36,Wellingborough
NN8 5WD,52.312525,-0.722027,,31,15,Wellingborough
NN8 5WE,52.310746,-0.723794,,85,35,Wellingborough
NN8 5WF,52.311694,-0.722505,,59,19,Wellingborough
NN8 5WG,52.313043,-0.723361,,91,29,Wellingborough
NN8 5WH,52.312081,-0.721687,,32,12,Wellingborough
NN8 5WJ,52.312284,-0.723809,,31,13,Wellingborough
NN8 5WR,52.312303,-0.719818,,34,13,Wellingborough
NN8 5WS,52.310341,-0.724613,,61,22,Wellingborough
NN8 5WT,52.310877,-0.719228,,39,20,Wellingborough
NN8 5WU,52.311899,-0.72068,,58,24,Wellingborough
NN8 5WW,52.308715,-0.723838,,32,15,Wellingborough
NN8 5WX,52.31133,-0.721269,,32,14,Wellingborough
NN8 5WY,52.311516,-0.719327,,63,25,Wellingborough
NN8 5WZ,52.309253,-0.722898,,71,24,Wellingborough
NN8 5XB,52.314406,-0.711425,,127,44,Wellingborough
NN8 5XG,52.315595,-0.710803,,127,44,Wellingborough
NN8 5XJ,52.310394,-0.716221,,56,25,Wellingborough
NN8 5XL,52.31265,-0.721114,,20,8,Wellingborough
NN8 5XN,52.310272,-0.720698,,51,19,Wellingborough
NN8 5XP,52.313349,-0.721695,,32,13,Wellingborough
NN8 5XT,52.310459,-0.720561,,114,43,Wellingborough
NN8 5XU,52.309369,-0.720313,,29,11,Wellingborough
NN8 5XW,52.314026,-0.70548,,60,24,Wellingborough
NN8 5XZ,52.310371,-0.715737,,19,8,Wellingborough
